first_name;;email;id_product ;nama produk;harga;jumlah;tanggal; harga total ;;;
Vanny;Choulerton;vchoulerton0@businessinsider.com;2627483;Plasticknivesblack;8050;40;07/01/2020; Rp322.000 ;;;
Petra;Letty;pletty1@omniture.com;2361688;Bread   Calabrese Baguette;5731;35;02/03/2020; Rp200.585 ;;;
Weidar;Moon;wmoon2@cloudflare.com;1286255;Soup   Cream Of Broccoli, Dry;3835;20;17/01/2020; Rp76.700 ;;;
Tessy;Poppleton;tpoppleton3@github.io;3276724;Wanton Wrap;2309;32;21/02/2020; Rp73.888 ;;;
Marybeth;Tingle;mtingle4@fc2.com;4812562;Capers   Pickled;5557;7;17/06/2019; Rp38.899 ;;;
Ibbie;Greenrde;igreenrde5@nba.com;1781201;Ecolab Digiclean Mild Fm;5193;37;23/01/2020; Rp192.141 ;;;
Max;Malbon;mmalbon6@zdnet.com;4865140;Cheese   Le Cru Du Clocher;6665;15;18/06/2019; Rp99.975 ;;;
Kerianne;Lorkin;klorkin7@theglobeandmail.com;3563149;Soup   Cream Of Broccoli;9370;24;28/10/2019; Rp224.880 ;;;
Livy;Skally;lskally8@sbwire.com;3519786;Cheese   Grie Des Champ;5418;19;20/03/2020; Rp102.942 ;;;
Fayina;Linebarger;flinebarger9@wix.com;8323411;Island Oasis   Mango Daiquiri;7530;24;21/03/2020; Rp180.720 ;;;
Merle;Hoult;mhoulta@simplemachines.org;2929021;Cookie Dough   Double;1182;1;03/09/2019; Rp1.182 ;;;
Nicki;Dowzell;ndowzellb@auda.org.au;8385455;Potatoes   Purple, Organic;6372;32;12/01/2020; Rp203.904 ;;;
Ginny;Yate;gyatec@typepad.com;7674679;Cod   Black Whole Fillet;392;49;19/10/2019; Rp19.208 ;;;
Juliane;Verna;jvernad@ocn.ne.jp;3225862;Sachet;737;26;30/05/2020; Rp19.162 ;;;
Maiga;Cornau;mcornaue@utexas.edu;5215669;Croissant, Raw   Mini;1674;16;13/11/2019; Rp26.784 ;;;
Fraser;Dudlestone;fdudlestonef@cocolog-nifty.com;4349269;Mushroom   Chanterelle, Dry;7576;49;13/07/2019; Rp371.224 ;;;
Chelsie;Mockett;cmockettg@imageshack.us;3406866;Bread   Pumpernickle, Rounds;5045;9;04/01/2020; Rp45.405 ;;;
Kitti;Abramamov;kabramamovh@issuu.com;9307152;Container   Foam Dixie 12 Oz;3951;30;06/03/2020; Rp118.530 ;;;
Peggy;Booton;pbootoni@wordpress.com;7441791;Bread   Sticks, Thin, Plain;4786;27;05/06/2020; Rp129.222 ;;;
Angelo;Seamans;aseamansj@hhs.gov;5283450;Peach   Fresh;847;38;04/08/2019; Rp32.186 ;;;
Germain;Sloey;gsloeyk@bluehost.com;6515340;Wine   White, Ej;3609;48;06/10/2019; Rp173.232 ;;;
Demetrius;Wadman;dwadmanl@so-net.ne.jp;1592112;Eggplant Oriental;7904;44;25/10/2019; Rp347.776 ;;;
Cordelia;Winyard;cwinyardm@blinklist.com;9424511;Fork   Plastic;2081;24;02/09/2019; Rp49.944 ;;;
Gabey;Turnell;gturnelln@t-online.de;9459080;Cheese   Goat;1913;24;03/12/2019; Rp45.912 ;;;
Jim;Musterd;jmusterdo@google.co.jp;4018127;Coconut   Shredded, Unsweet;9587;13;07/09/2019; Rp124.631 ;;;
Antons;Jobern;ajobernp@dailymotion.com;2554813;Cookies   Englishbay Oatmeal;4110;22;19/05/2020; Rp90.420 ;;;
Cymbre;Sale;csaleq@imdb.com;5797689;Seaweed Green Sheets;1496;39;28/04/2020; Rp58.344 ;;;
